Country Code,Number of Bed-places,Percentage of individuals
AT,601945,14.78
BE,129232,9.89
BG,281869,3.71
CH,271710,
CY,83251,6.41
CZ,317756,5.32
DE,1784654,17.88
DK,90503,22.02
EA19,10019920,
EA20,,
EE,32404,11.44
EL,797995,4.73
ES,1893978,13.11
EU15,,14.13
EU25,13126730,
FI,135177,19.16
FR,1312372,7.89
HR,167380,10.35
HU,181407,7.53
IE,150083,6.22
IS,29403,
IT,2248225,4.84
LI,1660,
LT,28665,9.99
LU,14262,20.83
LV,26164,8.52
ME,35518,
MK,19567,6.86
MT,41684,12.59
NL,261164,24.35
NO,187943,29.63
PL,325776,5.12
PT,337175,6.63
RO,213635,3.17
RS,,
SE,240883,25.04
SI,45716,12.79
SK,95774,7.30
TR,1240035,
UK,1950485,23.43
XK,,
